Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
17.0,19.0,19.0,17.0,19.0,17.0,19.0,19.0,15.0
11.0,11.5,7.0,11.0,5.0,11.5,11.0,11.0,7.0
18.0,14.0,14.0,18.0,10.0,14.0,14.0,14.0,14.0
6.0,12.0,10.0,13.0,5.0,10.0,10.0,14.0,12.0
3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0
11.5,11.0,11.0,13.0,13.5,11.0,11.0,11.0,9.0
11.0,10.0,10.0,6.0,12.0,8.0,8.0,8.0,10.0
5.0,7.0,7.0,7.0,12.0,10.0,8.0,9.0,7.0
19.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0
7.0,10.0,5.0,7.0,4.0,10.0,8.0,4.0,11.0
10.0,12.0,8.0,10.0,9.0,10.0,16.0,9.5,13.0
14.0,12.0,10.0,15.0,12.0,14.0,16.0,14.0,14.0
21.0,7.0,4.0,6.0,6.0,6.0,6.0,9.0,2.0
,,,,,,,,
