Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
19.0,23.0,23.0,21.0,21.0,18.0,21.0,21.0,17.0
15.0,10.0,13.0,13.0,7.0,13.0,13.0,13.0,9.0
18.0,18.0,18.0,16.0,18.0,18.0,16.0,18.0,18.0
11.0,10.0,12.0,10.0,6.0,11.0,9.0,11.0,8.0
11.0,14.0,18.0,14.0,9.0,5.0,9.0,11.0,11.0
18.0,18.0,18.0,13.0,14.0,18.0,18.0,14.0,18.0
14.0,18.0,10.0,12.0,10.0,18.0,12.0,10.0,12.0
13.0,9.0,12.0,11.0,12.0,9.0,10.0,11.0,12.0
19.0,20.0,18.0,19.0,18.0,19.0,18.0,19.0,19.0
13.0,13.0,17.0,13.0,9.0,13.0,15.0,15.0,17.0
17.0,16.0,12.0,14.0,12.0,14.0,16.0,17.0,14.0
21.0,18.0,21.0,18.0,21.0,18.0,18.0,22.0,12.0
19.0,17.0,20.0,15.0,16.0,20.0,20.0,17.0,17.0
,,,,,,,,
